site_count,ok,commit_mode,disaster_safe_ms
2,1,FAST,110.903449
2,1,FAST,141.252504
2,1,FAST,122.469336
2,1,FAST,169.995731
2,1,FAST,144.529253
2,1,FAST,164.321642
2,1,FAST,149.979994
2,1,FAST,215.248377
2,1,FAST,128.418219
2,1,FAST,213.562034
2,1,FAST,98.705824
2,1,FAST,186.253545
2,1,FAST,89.620390
2,1,FAST,191.283801
2,1,FAST,83.902734
2,1,FAST,171.872230
2,1,FAST,118.803045
2,1,FAST,135.155277
2,1,FAST,102.768443
2,1,FAST,153.076121
2,1,FAST,113.798725
2,1,FAST,83.663836
2,1,FAST,95.154851
2,1,FAST,101.833034
2,1,FAST,146.228092
2,1,FAST,173.819457
2,1,FAST,85.937905
2,1,FAST,118.799249
2,1,FAST,137.004013
2,1,FAST,104.859203
2,1,FAST,160.029589
2,1,FAST,110.362692
2,1,FAST,89.097381
2,1,FAST,141.567739
2,1,FAST,159.389546
2,1,FAST,83.852622
2,1,FAST,108.452100
2,1,FAST,127.524530
2,1,FAST,146.102675
2,1,FAST,186.196541
2,1,FAST,86.556553
2,1,FAST,152.450971
2,1,FAST,180.029207
2,1,FAST,83.481023
2,1,FAST,198.442542
2,1,FAST,171.617723
2,1,FAST,154.641719
2,1,FAST,104.563681
2,1,FAST,136.689450
2,1,FAST,114.573703
3,1,FAST,129.730536
3,1,FAST,123.735389
3,1,FAST,138.505724
3,1,FAST,99.053724
3,1,FAST,175.681152
3,1,FAST,152.245662
3,1,FAST,124.472579
3,1,FAST,117.021169
3,1,FAST,88.488385
3,1,FAST,117.535680
3,1,FAST,135.484509
3,1,FAST,121.904503
3,1,FAST,133.870302
3,1,FAST,89.356721
3,1,FAST,121.114374
3,1,FAST,182.965948
3,1,FAST,161.607402
3,1,FAST,206.956023
3,1,FAST,115.457243
3,1,FAST,88.536958
3,1,FAST,175.137502
3,1,FAST,150.483353
3,1,FAST,147.557909
3,1,FAST,139.020874
3,1,FAST,106.873758
3,1,FAST,171.913004
3,1,FAST,99.942750
3,1,FAST,127.861792
3,1,FAST,156.256970
3,1,FAST,168.567920
3,1,FAST,109.686894
3,1,FAST,130.869643
3,1,FAST,88.572779
3,1,FAST,175.541003
3,1,FAST,148.897695
3,1,FAST,187.793065
3,1,FAST,179.303978
3,1,FAST,120.707336
3,1,FAST,156.411831
3,1,FAST,194.491849
3,1,FAST,149.372728
3,1,FAST,89.102264
3,1,FAST,219.088004
3,1,FAST,117.496017
3,1,FAST,170.231911
3,1,FAST,118.988694
3,1,FAST,157.659451
3,1,FAST,94.560244
3,1,FAST,200.782749
3,1,FAST,140.663345
3,1,FAST,176.450957
3,1,FAST,167.839640
3,1,FAST,120.342694
3,1,FAST,217.147309
3,1,FAST,204.252094
3,1,FAST,146.027354
3,1,FAST,174.909814
3,1,FAST,116.111574
3,1,FAST,131.654776
3,1,FAST,97.373450
3,1,FAST,200.915850
3,1,FAST,208.051107
3,1,FAST,88.838368
3,1,FAST,108.153346
3,1,FAST,170.819418
3,1,FAST,159.722967
